degree_name,degree_category,stem
Teaching English as a Second or Foreign Language/ESL Language Instructor,Education,No
Surveying Technology/Surveying,"Natural Resources and Conservation
",No
Sign Language Interpretation and Translation,"Foreign Language and Literature
",No
Community Psychology,"Psychology
",No
Sports Studies,"Health and Kinesiology
",No
"Modeling, Virtual Environments and Simulation","Computer and Information Sciences
",No
Education/Teaching of Individuals in Early Childhood Special Education Programs,Education,No
"Writing, General","English Language and Literature
",No
Biological and Physical Sciences,"Biological and Biomedical Sciences
",Yes
"Science, Technology and Society","Engineering Technologies/Technicians
",Yes
"Atmospheric Sciences and Meteorology, General","Physical Sciences
",Yes
Materials Science,"Physical Sciences
",Yes
"Physical Sciences, Other","Physical Sciences
",Yes
National Security Policy Studies,"Public Administration and Social Service
",No
Informatics,"Computer and Information Sciences
",Yes
Rhetoric and Composition,"English Language and Literature
",No
Audiology/Audiologist,"Visual and Performing Arts
",No
"Biological and Biomedical Sciences, Other","Biological and Biomedical Sciences
",Yes
Environmental Toxicology,"Natural Resources and Conservation
",Yes
School Librarian/School Library Media Specialist,Other Trade,No
Systems Engineering,Engineering,Yes
"Communication Disorders Sciences and Services, Other",Nursing and Related,No
"Health/Medical Preparatory Programs, Other",Nursing and Related,No
Medicine,Nursing and Related,No
Mathematics and Statistics,"Mathematics and Statistics
",Yes
Gerontology,"Health and Kinesiology
",No
"Water, Wetlands, and Marine Resources Management","Natural Resources and Conservation
",Yes
Meteorology,"Physical Sciences
",Yes
Intermedia/Multimedia,"Multi/Interdisciplinary Studies
",Yes
Clinical Nurse Leader,Nursing and Related,No
Biopsychology,"Biological and Biomedical Sciences
",Yes
Fine and Studio Arts Management,"Visual and Performing Arts
",No
Accounting and Business/Management,"Business
",No
Accounting and Finance,"Business
",No
"Marketing, Other","Business
",No
Computer Support Specialist,"Computer and Information Sciences
",Yes
"Educational Administration and Supervision, Other",Education,No
African-American/Black Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
American/United States Studies/Civilization,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Women's Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Business Statistics,"Business
",Yes
Restaurant/Food Services Management,"Business
",No
Taxation,"Business
",No
Advertising,"Business
",No
"Journalism, Other","Communications and Journalism
",No
"Radio, Television, and Digital Communication, Other","Communications and Journalism
",No
Educational Statistics and Research Methods,Education,No
Higher Education/Higher Education Administration,Education,No
Learning Sciences,Education,No
Secondary School Administration/Principalship,Education,No
